RecoMethod,bootstrap_independent,bootstrap_joint,gaussian_independent,gaussian_joint
Base,51700.33824171006,51723.81131791698,271241.1795379189,51712.71440736262
BottomUp,52481.62536890903,52557.114477529656,228850.49729880647,52438.24124407091
BTTH,62960.6029770805,62292.59385922707,219777.4393918384,62852.53450327578
JPP,46507.95547436591,46546.80091911732,142005.73619307711,46517.91305630469
MinTSam,56557.804215641765,56642.30355921126,199359.1665320321,56576.0228913081
MinTShr,50937.71477830694,50975.2406925966,84019.63600702817,50929.5751209033
OLS,47074.704357343806,46991.71204086986,171587.51078380106,46962.79313546568
ScoreOptE,59578.35316908915,61718.63653793803,61201.09056870699,61333.11327766265
ScoreOptEIn,49302.99365073569,49748.119161057555,121965.53349950943,49580.8875133888
ScoreOptV,62012.35560584386,62245.09104144105,54821.51571989249,61879.37503912614
ScoreOptVIn,50422.01855491945,50621.82017735904,131305.5772788876,50352.03278371019
WLS,46351.34699764147,46338.11222781802,147574.1617399414,46289.0708850201
