ScoreEval,Method,Score,BaseDep,BaseDist,EvalDate
Energy,Base,141.9582265236754,gaussian,independent,2019-12-24
Energy,BottomUp,122.54690764928698,gaussian,independent,2019-12-24
Energy,JPP,427.59197255999914,gaussian,independent,2019-12-24
Energy,BTTH,382.96244628590136,gaussian,independent,2019-12-24
Energy,OLS,108.29494656632542,gaussian,independent,2019-12-24
Energy,WLS,98.44251317020995,gaussian,independent,2019-12-24
Energy,MinTSam,105.50497013039268,gaussian,independent,2019-12-24
Energy,MinTShr,63.26090619717424,gaussian,independent,2019-12-24
Energy,ScoreOptE,22.90222780336842,gaussian,independent,2019-12-24
Energy,ScoreOptEIn,73.64119804225709,gaussian,independent,2019-12-24
Energy,ScoreOptV,32.737657420806435,gaussian,independent,2019-12-24
Energy,ScoreOptVIn,74.4193419374231,gaussian,independent,2019-12-24
Variogram,Base,913805.565361249,gaussian,independent,2019-12-24
Variogram,BottomUp,837742.9210099797,gaussian,independent,2019-12-24
Variogram,JPP,552855.1354620717,gaussian,independent,2019-12-24
Variogram,BTTH,782950.1345944828,gaussian,independent,2019-12-24
Variogram,OLS,571574.2715550179,gaussian,independent,2019-12-24
Variogram,WLS,542133.4371600142,gaussian,independent,2019-12-24
Variogram,MinTSam,382620.67257348885,gaussian,independent,2019-12-24
Variogram,MinTShr,137224.09546561041,gaussian,independent,2019-12-24
Variogram,ScoreOptE,14970.932771821905,gaussian,independent,2019-12-24
Variogram,ScoreOptEIn,262828.333565875,gaussian,independent,2019-12-24
Variogram,ScoreOptV,14835.737441792973,gaussian,independent,2019-12-24
Variogram,ScoreOptVIn,265553.7639060286,gaussian,independent,2019-12-24
Energy,Base,17.878701225870742,gaussian,joint,2019-12-24
Energy,BottomUp,24.555515663601312,gaussian,joint,2019-12-24
Energy,JPP,44.20381284427983,gaussian,joint,2019-12-24
Energy,BTTH,51.722978535964934,gaussian,joint,2019-12-24
Energy,OLS,15.241421575676885,gaussian,joint,2019-12-24
Energy,WLS,18.394910286708008,gaussian,joint,2019-12-24
Energy,MinTSam,19.162282194976754,gaussian,joint,2019-12-24
Energy,MinTShr,14.81960296013415,gaussian,joint,2019-12-24
Energy,ScoreOptE,21.152300035660456,gaussian,joint,2019-12-24
Energy,ScoreOptEIn,14.948524006006483,gaussian,joint,2019-12-24
Energy,ScoreOptV,21.717904941719926,gaussian,joint,2019-12-24
Energy,ScoreOptVIn,15.001071885221867,gaussian,joint,2019-12-24
Variogram,Base,11355.689344073873,gaussian,joint,2019-12-24
Variogram,BottomUp,24095.046330607966,gaussian,joint,2019-12-24
Variogram,JPP,13570.38968699205,gaussian,joint,2019-12-24
Variogram,BTTH,35683.51018511684,gaussian,joint,2019-12-24
Variogram,OLS,9103.151950527195,gaussian,joint,2019-12-24
Variogram,WLS,13799.486716239899,gaussian,joint,2019-12-24
Variogram,MinTSam,12305.580482983252,gaussian,joint,2019-12-24
Variogram,MinTShr,7855.066636008706,gaussian,joint,2019-12-24
Variogram,ScoreOptE,16141.541771014248,gaussian,joint,2019-12-24
Variogram,ScoreOptEIn,8744.558006609755,gaussian,joint,2019-12-24
Variogram,ScoreOptV,16923.07206049961,gaussian,joint,2019-12-24
Variogram,ScoreOptVIn,8439.894680187985,gaussian,joint,2019-12-24
Energy,Base,17.538709518436725,bootstrap,independent,2019-12-24
Energy,BottomUp,22.88144678576941,bootstrap,independent,2019-12-24
Energy,JPP,42.823629821376564,bootstrap,independent,2019-12-24
Energy,BTTH,49.81451926977576,bootstrap,independent,2019-12-24
Energy,OLS,14.382039958363293,bootstrap,independent,2019-12-24
Energy,WLS,17.228876660718633,bootstrap,independent,2019-12-24
Energy,MinTSam,18.89693345849865,bootstrap,independent,2019-12-24
Energy,MinTShr,14.717073849159057,bootstrap,independent,2019-12-24
Energy,ScoreOptE,14.69241605684395,bootstrap,independent,2019-12-24
Energy,ScoreOptEIn,14.785746948647645,bootstrap,independent,2019-12-24
Energy,ScoreOptV,18.425917317672212,bootstrap,independent,2019-12-24
Energy,ScoreOptVIn,15.89320152246418,bootstrap,independent,2019-12-24
Variogram,Base,10987.472147068025,bootstrap,independent,2019-12-24
Variogram,BottomUp,23075.024340601154,bootstrap,independent,2019-12-24
Variogram,JPP,13079.057602617066,bootstrap,independent,2019-12-24
Variogram,BTTH,30632.964891527572,bootstrap,independent,2019-12-24
Variogram,OLS,8784.251197936717,bootstrap,independent,2019-12-24
Variogram,WLS,13251.65026185302,bootstrap,independent,2019-12-24
Variogram,MinTSam,13283.56665117851,bootstrap,independent,2019-12-24
Variogram,MinTShr,7929.236356602972,bootstrap,independent,2019-12-24
Variogram,ScoreOptE,7768.791804886931,bootstrap,independent,2019-12-24
Variogram,ScoreOptEIn,8647.009334754193,bootstrap,independent,2019-12-24
Variogram,ScoreOptV,12412.808964685086,bootstrap,independent,2019-12-24
Variogram,ScoreOptVIn,9696.592677912486,bootstrap,independent,2019-12-24
Energy,Base,17.806885382995024,bootstrap,joint,2019-12-24
Energy,BottomUp,23.804461436255778,bootstrap,joint,2019-12-24
Energy,JPP,43.20762319547871,bootstrap,joint,2019-12-24
Energy,BTTH,47.08545130448214,bootstrap,joint,2019-12-24
Energy,OLS,15.091861791835269,bootstrap,joint,2019-12-24
Energy,WLS,17.94959332887682,bootstrap,joint,2019-12-24
Energy,MinTSam,19.75571903296258,bootstrap,joint,2019-12-24
Energy,MinTShr,15.061791332842756,bootstrap,joint,2019-12-24
Energy,ScoreOptE,20.38966224739416,bootstrap,joint,2019-12-24
Energy,ScoreOptEIn,15.549780872891395,bootstrap,joint,2019-12-24
Energy,ScoreOptV,21.197175803300517,bootstrap,joint,2019-12-24
Energy,ScoreOptVIn,14.754937079461016,bootstrap,joint,2019-12-24
Variogram,Base,11269.207470914955,bootstrap,joint,2019-12-24
Variogram,BottomUp,23213.938639562508,bootstrap,joint,2019-12-24
Variogram,JPP,13306.975027224747,bootstrap,joint,2019-12-24
Variogram,BTTH,25977.33171970602,bootstrap,joint,2019-12-24
Variogram,OLS,8978.405690312406,bootstrap,joint,2019-12-24
Variogram,WLS,13513.686087277154,bootstrap,joint,2019-12-24
Variogram,MinTSam,12872.912161387812,bootstrap,joint,2019-12-24
Variogram,MinTShr,7953.501414050071,bootstrap,joint,2019-12-24
Variogram,ScoreOptE,15876.137772844313,bootstrap,joint,2019-12-24
Variogram,ScoreOptEIn,9568.134226340811,bootstrap,joint,2019-12-24
Variogram,ScoreOptV,16845.011808682215,bootstrap,joint,2019-12-24
Variogram,ScoreOptVIn,8291.332947380155,bootstrap,joint,2019-12-24
Energy,Base,145.54917632606515,gaussian,independent,2019-12-25
Energy,BottomUp,135.3259749224193,gaussian,independent,2019-12-25
Energy,JPP,417.931666954153,gaussian,independent,2019-12-25
Energy,BTTH,386.774152602628,gaussian,independent,2019-12-25
Energy,OLS,115.82698349352069,gaussian,independent,2019-12-25
Energy,WLS,111.91317894967273,gaussian,independent,2019-12-25
Energy,MinTSam,107.51430311312392,gaussian,independent,2019-12-25
Energy,MinTShr,83.9806275148616,gaussian,independent,2019-12-25
Energy,ScoreOptE,62.2269817736294,gaussian,independent,2019-12-25
Energy,ScoreOptEIn,90.47538384844137,gaussian,independent,2019-12-25
Energy,ScoreOptV,60.20358184731711,gaussian,independent,2019-12-25
Energy,ScoreOptVIn,90.73328532922075,gaussian,independent,2019-12-25
Variogram,Base,1066921.2216176526,gaussian,independent,2019-12-25
Variogram,BottomUp,1079289.2605676295,gaussian,independent,2019-12-25
Variogram,JPP,766448.5663758867,gaussian,independent,2019-12-25
Variogram,BTTH,1235104.8029377414,gaussian,independent,2019-12-25
Variogram,OLS,698806.1328949144,gaussian,independent,2019-12-25
Variogram,WLS,708186.0689108234,gaussian,independent,2019-12-25
Variogram,MinTSam,457986.3869826288,gaussian,independent,2019-12-25
Variogram,MinTShr,280388.3410946056,gaussian,independent,2019-12-25
Variogram,ScoreOptE,144552.30313478722,gaussian,independent,2019-12-25
Variogram,ScoreOptEIn,406295.8207853226,gaussian,independent,2019-12-25
Variogram,ScoreOptV,156362.30861048185,gaussian,independent,2019-12-25
Variogram,ScoreOptVIn,406699.89632016997,gaussian,independent,2019-12-25
Energy,Base,85.67436343574586,gaussian,joint,2019-12-25
Energy,BottomUp,96.060702558276,gaussian,joint,2019-12-25
Energy,JPP,109.50737671225649,gaussian,joint,2019-12-25
Energy,BTTH,119.58475578061369,gaussian,joint,2019-12-25
Energy,OLS,86.38337516724634,gaussian,joint,2019-12-25
Energy,WLS,89.41262665372642,gaussian,joint,2019-12-25
Energy,MinTSam,93.90696817963152,gaussian,joint,2019-12-25
Energy,MinTShr,91.16546567107558,gaussian,joint,2019-12-25
Energy,ScoreOptE,76.46994088214265,gaussian,joint,2019-12-25
Energy,ScoreOptEIn,89.80922837224931,gaussian,joint,2019-12-25
Energy,ScoreOptV,75.33529960781223,gaussian,joint,2019-12-25
Energy,ScoreOptVIn,90.77753492359332,gaussian,joint,2019-12-25
Variogram,Base,172597.9488760838,gaussian,joint,2019-12-25
Variogram,BottomUp,225599.25210048913,gaussian,joint,2019-12-25
Variogram,JPP,191993.5917719889,gaussian,joint,2019-12-25
Variogram,BTTH,236632.266095474,gaussian,joint,2019-12-25
Variogram,OLS,179270.00082949174,gaussian,joint,2019-12-25
Variogram,WLS,192051.4928065122,gaussian,joint,2019-12-25
Variogram,MinTSam,186283.79849107986,gaussian,joint,2019-12-25
Variogram,MinTShr,176877.70774058675,gaussian,joint,2019-12-25
Variogram,ScoreOptE,168269.22751847975,gaussian,joint,2019-12-25
Variogram,ScoreOptEIn,177995.70973080795,gaussian,joint,2019-12-25
Variogram,ScoreOptV,166919.63325029888,gaussian,joint,2019-12-25
Variogram,ScoreOptVIn,182304.48263888416,gaussian,joint,2019-12-25
Energy,Base,86.06158921156288,bootstrap,independent,2019-12-25
Energy,BottomUp,96.94069825062414,bootstrap,independent,2019-12-25
Energy,JPP,109.79893443479261,bootstrap,independent,2019-12-25
Energy,BTTH,116.79268683111793,bootstrap,independent,2019-12-25
Energy,OLS,88.87254898229489,bootstrap,independent,2019-12-25
Energy,WLS,93.11819548786917,bootstrap,independent,2019-12-25
Energy,MinTSam,89.98225485484726,bootstrap,independent,2019-12-25
Energy,MinTShr,91.57295323606384,bootstrap,independent,2019-12-25
Energy,ScoreOptE,82.54169596792619,bootstrap,independent,2019-12-25
Energy,ScoreOptEIn,92.07726799458143,bootstrap,independent,2019-12-25
Energy,ScoreOptV,77.1298214978185,bootstrap,independent,2019-12-25
Energy,ScoreOptVIn,90.9104721251873,bootstrap,independent,2019-12-25
Variogram,Base,173705.54232541265,bootstrap,independent,2019-12-25
Variogram,BottomUp,227019.77854601535,bootstrap,independent,2019-12-25
Variogram,JPP,193011.13564088623,bootstrap,independent,2019-12-25
Variogram,BTTH,230320.07584751872,bootstrap,independent,2019-12-25
Variogram,OLS,180173.68174796464,bootstrap,independent,2019-12-25
Variogram,WLS,193069.2072646442,bootstrap,independent,2019-12-25
Variogram,MinTSam,190712.75204200594,bootstrap,independent,2019-12-25
Variogram,MinTShr,180300.77872579795,bootstrap,independent,2019-12-25
Variogram,ScoreOptE,179105.18351264994,bootstrap,independent,2019-12-25
Variogram,ScoreOptEIn,185825.65229576634,bootstrap,independent,2019-12-25
Variogram,ScoreOptV,176427.43682213017,bootstrap,independent,2019-12-25
Variogram,ScoreOptVIn,184595.12305478958,bootstrap,independent,2019-12-25
Energy,Base,86.51404422455411,bootstrap,joint,2019-12-25
Energy,BottomUp,96.57239311789876,bootstrap,joint,2019-12-25
Energy,JPP,109.99435765776559,bootstrap,joint,2019-12-25
Energy,BTTH,117.44595236078625,bootstrap,joint,2019-12-25
Energy,OLS,87.22504609761074,bootstrap,joint,2019-12-25
Energy,WLS,90.2592434963248,bootstrap,joint,2019-12-25
Energy,MinTSam,94.95820982911091,bootstrap,joint,2019-12-25
Energy,MinTShr,92.17824896804144,bootstrap,joint,2019-12-25
Energy,ScoreOptE,79.73423586059958,bootstrap,joint,2019-12-25
Energy,ScoreOptEIn,91.89037405728968,bootstrap,joint,2019-12-25
Energy,ScoreOptV,75.70925617894312,bootstrap,joint,2019-12-25
Energy,ScoreOptVIn,92.45300361336162,bootstrap,joint,2019-12-25
Variogram,Base,174500.2190944565,bootstrap,joint,2019-12-25
Variogram,BottomUp,227217.79481228083,bootstrap,joint,2019-12-25
Variogram,JPP,194153.6905551541,bootstrap,joint,2019-12-25
Variogram,BTTH,226786.44781225396,bootstrap,joint,2019-12-25
Variogram,OLS,181030.3395454977,bootstrap,joint,2019-12-25
Variogram,WLS,194202.79100062337,bootstrap,joint,2019-12-25
Variogram,MinTSam,189650.1530854209,bootstrap,joint,2019-12-25
Variogram,MinTShr,179871.34650978213,bootstrap,joint,2019-12-25
Variogram,ScoreOptE,181079.0713513615,bootstrap,joint,2019-12-25
Variogram,ScoreOptEIn,183999.7874785469,bootstrap,joint,2019-12-25
Variogram,ScoreOptV,167970.80167934683,bootstrap,joint,2019-12-25
Variogram,ScoreOptVIn,186676.47347017267,bootstrap,joint,2019-12-25
Energy,Base,152.13069186250843,gaussian,independent,2019-12-26
Energy,BottomUp,128.64579438216882,gaussian,independent,2019-12-26
Energy,JPP,429.15579390983703,gaussian,independent,2019-12-26
Energy,BTTH,394.8438699375871,gaussian,independent,2019-12-26
Energy,OLS,116.69304619675479,gaussian,independent,2019-12-26
Energy,WLS,107.48228467064533,gaussian,independent,2019-12-26
Energy,MinTSam,102.64611164452158,gaussian,independent,2019-12-26
Energy,MinTShr,64.7942192565399,gaussian,independent,2019-12-26
Energy,ScoreOptE,46.095831695010666,gaussian,independent,2019-12-26
Energy,ScoreOptEIn,77.17693611749334,gaussian,independent,2019-12-26
Energy,ScoreOptV,36.300131264371224,gaussian,independent,2019-12-26
Energy,ScoreOptVIn,77.54472676632875,gaussian,independent,2019-12-26
Variogram,Base,1000560.13284665,gaussian,independent,2019-12-26
Variogram,BottomUp,854420.9219286081,gaussian,independent,2019-12-26
Variogram,JPP,556771.365265327,gaussian,independent,2019-12-26
Variogram,BTTH,867550.8312069675,gaussian,independent,2019-12-26
Variogram,OLS,584054.1064897045,gaussian,independent,2019-12-26
Variogram,WLS,546329.7091890415,gaussian,independent,2019-12-26
Variogram,MinTSam,223605.15383689638,gaussian,independent,2019-12-26
Variogram,MinTShr,96580.22609457107,gaussian,independent,2019-12-26
Variogram,ScoreOptE,91517.15949014394,gaussian,independent,2019-12-26
Variogram,ScoreOptEIn,237499.90190048,gaussian,independent,2019-12-26
Variogram,ScoreOptV,38212.15691498697,gaussian,independent,2019-12-26
Variogram,ScoreOptVIn,204195.88862170491,gaussian,independent,2019-12-26
Energy,Base,36.67393474387594,gaussian,joint,2019-12-26
Energy,BottomUp,56.37114516402857,gaussian,joint,2019-12-26
Energy,JPP,65.93628551105292,gaussian,joint,2019-12-26
Energy,BTTH,71.32318708482981,gaussian,joint,2019-12-26
Energy,OLS,35.54921762617954,gaussian,joint,2019-12-26
Energy,WLS,43.81560384964369,gaussian,joint,2019-12-26
Energy,MinTSam,30.92762475184453,gaussian,joint,2019-12-26
Energy,MinTShr,31.050059747987067,gaussian,joint,2019-12-26
