"Time","Tot","A","B","AA","AB","BA","BB"
1,9338.67821887013,356.828417679997,8981.84980119013,-147.132972357924,503.961390037921,277.712959563309,8704.13684162682
2,9365.5164531673,361.806831263663,9003.70962190363,-147.087289125474,508.894120389137,274.096761601776,8729.61286030186
3,9394.36468643742,372.23538446152,9022.1293019759,-133.361057911331,505.596442372851,279.881508762186,8742.24779321371
4,9410.45218628336,376.536969575959,9033.9152167074,-125.322140051908,501.859109627867,279.4182588864,8754.496957821
5,9435.81597440309,384.700289917971,9051.11568448512,-119.685268314802,504.385558232773,279.643125494556,8771.47255899056
6,9451.18132189384,391.943335623673,9059.23798627017,-117.303413635192,509.246749258865,272.189955853411,8787.04803041676
7,9470.78216315119,388.208514177534,9082.57364897366,-135.239892197112,523.448406374646,259.816262385117,8822.75738658854
8,9482.72058213197,380.566305630497,9102.15427650148,-138.304244607982,518.870550238479,261.798111201979,8840.3561652995
9,9495.77053770593,379.478064050428,9116.2924736555,-131.587443821073,511.0655078715,268.228695132636,8848.06377852286
10,9505.82316225738,370.610954320792,9135.21220793659,-143.104710351827,513.715664672619,263.095265478119,8872.11694245847
11,9518.58378822969,387.71906784498,9130.86472038471,-135.209590350215,522.928658195195,253.193349991485,8877.67137039323
12,9529.66781673983,375.154379825851,9154.51343691398,-132.105031756518,507.259411582369,268.940759845626,8885.57267706835
13,9546.43539651997,388.145365092229,9158.29003142774,-127.173315815534,515.318680907763,263.044656974223,8895.24537445352
14,9564.56257483927,376.167931399746,9188.39464343953,-153.779522668489,529.947454068235,253.104532350018,8935.29011108951
15,9583.28352663478,394.009043847121,9189.27448278766,-148.012453660649,542.02149750777,244.694754867608,8944.57972792005
16,9597.32288550568,386.551563659647,9210.77132184603,-141.242182514578,527.793746174225,258.723279649381,8952.04804219665
17,9613.85311973655,388.166997123358,9225.6861226132,-148.777744123663,536.944741247021,248.673454156503,8977.01266845669
18,9621.46857068929,395.031581713967,9226.43698897532,-155.548746051825,550.580327765792,230.546147812378,8995.89084116294
19,9636.58991990488,392.436938519959,9244.15298138492,-147.65980540605,540.09674392601,240.192536236719,9003.9604451482
20,9643.37590859962,385.471865857389,9257.90404274223,-139.612909573363,525.084775430752,249.92393996819,9007.98010277404
21,9658.89453062697,402.201385177898,9256.69314544907,-134.311296011051,536.51268118895,238.77553822716,9017.91760722191
22,9670.18045240359,402.879435674811,9267.30101672878,-153.542055281106,556.421490955917,216.213053122846,9051.08796360593
23,9677.42848383628,414.183469193035,9263.24501464324,-152.552169352867,566.735638545902,202.26006757756,9060.98494706568
24,9688.98779900733,415.393308422338,9273.594490585,-129.302913042948,544.696221465285,221.691769540062,9051.90272104493
25,9698.9400206573,417.834975587208,9281.1050450701,-141.164767178068,558.999742765276,203.070703955808,9078.03434111429
26,9718.04550191684,429.26958101857,9288.77592089827,-128.203475490254,557.473056508824,206.164493423164,9082.6114274751
27,9743.27851391127,437.109174878487,9306.16933903278,-113.972930277859,551.082105156346,216.859995442225,9089.30934359056
28,9766.26400361585,465.17395229147,9301.09005132438,-116.615667257641,581.789619549111,190.550460771451,9110.53959055293
29,9789.64564279128,474.036342208499,9315.60930058278,-103.142383587246,577.178725795745,200.268563799876,9115.34073678291
30,9804.7141581283,484.96493964125,9319.74921848705,-88.435563322715,573.400502963965,203.541448392867,9116.20777009419
31,9816.01209751858,489.669214620156,9326.34288289843,-95.0433457322973,584.712560352453,190.740250903099,9135.60263199533
32,9826.13170315484,490.546095004151,9335.58560815068,-79.9584526152928,570.504547619444,202.163175106773,9133.42243304391
33,9839.13573886887,501.713525478906,9337.42221338997,-82.2092790448275,583.922804523733,189.197029195641,9148.22518419433
34,9850.74039206461,504.768039713561,9345.97235235105,-70.5993382736327,575.367377987193,197.039608745493,9148.93274360555
35,9856.541434158,504.96746324437,9351.57397091363,-68.318143829616,573.285607073986,196.940583301126,9154.6333876125
36,9863.85688112265,500.341468763019,9363.51541235963,-72.0814171825764,572.422885945595,197.919331256095,9165.59608110353
37,9862.18041306238,502.394993518262,9359.78541954412,-76.0917945471024,578.486788065364,187.750622504535,9172.03479703959
38,9868.96835418813,502.050767792564,9366.91758639556,-82.6797581352201,584.730525927784,181.693686536495,9185.22389985907
39,9879.20361550279,506.990037510663,9372.21357799213,-73.7034763956617,580.693513906324,186.719503081545,9185.49407491058
40,9894.33917609694,518.802633823177,9375.53654227376,-58.035758268231,576.838392091408,193.010309495629,9182.52623277813
41,9915.61024062785,517.82497799228,9397.78526263557,-71.7010877085793,589.526065700859,185.555736136635,9212.22952649893
42,9932.24931667321,537.422668765241,9394.82664790797,-67.8837569800154,605.306425745257,173.148394360452,9221.67825354751
43,9955.13366416635,548.482991630993,9406.65067253536,-59.5943943842625,608.077386015255,177.102411545446,9229.54826098991
44,9979.93762473636,559.29740831569,9420.64021642067,-48.2000407655795,607.49744908127,184.529044585679,9236.11117183499
45,10001.3746150567,574.365261468483,9427.00935358823,-46.7967955153514,621.162056983834,176.231024083989,9250.77832950424
46,10029.2055797839,592.705264203966,9436.50031557994,-27.3616914432766,620.066955647242,185.739921987614,9250.76039359233
47,10051.7597459682,606.767843878351,9444.99190208988,-20.5353253345927,627.303169212944,184.996952353899,9259.99494973598
48,10083.5952556586,639.623226091286,9443.97202956734,-6.25342999454126,645.876656085827,178.616713428368,9265.35531613897
49,10106.6074044716,650.158656967554,9456.44874750409,0.621522346028461,649.537134621525,180.840839420927,9275.60790808316
50,10132.4277474328,677.679839239367,9454.74790819347,8.25160478788842,669.428234451478,171.274846496006,9283.47306169746
51,10154.3034525369,695.112609113115,9459.19084342383,24.053903704911,671.058705408204,177.62174037314,9281.56910305069
52,10183.8890243203,721.387541282493,9462.50148303783,26.5653267266361,694.822214555857,166.66988567033,9295.8315973675
53,10218.7646968548,749.965657707623,9468.79903914715,40.284401102478,709.681256605145,165.884250619492,9302.91478852766
54,10255.9324363474,787.864183619012,9468.0682527284,71.0042070797562,716.859976539256,172.372234329802,9295.6960183986
55,10292.4411575182,801.026713914063,9491.41444360415,76.2479344781357,724.778779435927,177.779384857941,9313.63505874621
56,10330.4891985367,833.436339668478,9497.0528588682,90.0748175084668,743.361522160011,172.030486075101,9325.0223727931
57,10356.5579468333,853.319912495337,9503.23803433796,96.5692344128811,756.750678082456,165.755107862102,9337.48292647586
58,10374.8929077706,867.499954835069,9507.39295293558,110.987567196336,756.512387638733,169.837995464597,9337.55495747098
59,10396.0326215425,906.888210971257,9489.14441057122,132.899367258668,773.988843712588,158.607382759341,9330.53702781188
60,10398.9495346691,898.834593750585,9500.11494091855,127.863027604502,770.971566146083,158.552682732535,9341.56225818601
61,10405.0775816658,911.842162256716,9493.23541940913,146.434367889989,765.407794366727,163.857517362831,9329.3779020463
62,10399.2639040791,912.697394308204,9486.56650977088,140.076559112073,772.620835196131,149.797474891035,9336.76903487985
63,10398.9107692017,912.667126909158,9486.24364229253,133.391167099977,779.275959809181,139.725601147385,9346.51804114515
64,10404.4298014857,922.389676232588,9482.04012525314,140.992991580378,781.39668465221,138.238558309245,9343.80156694389
65,10411.4856499682,927.145883809199,9484.33976615904,141.865320525886,785.280563283314,136.198783653096,9348.14098250594
66,10423.3988649096,931.849762709719,9491.54910219988,153.624386173226,778.225376536494,148.439536332809,9343.10956586707
67,10429.145857001,945.255485040794,9483.8903719602,149.584633856459,795.670851184335,133.582180265923,9350.30819169428
68,10440.6816581117,955.711081633282,9484.97057647846,157.856090852243,797.854990781039,137.351209099818,9347.61936737865
69,10458.0769485475,980.655758619219,9477.42118992833,163.108379550375,817.547379068844,125.901321213236,9351.51986871509
70,10468.5851971002,985.485774605995,9483.09942249418,168.63153749575,816.854237110246,131.42112661311,9351.67829588107
71,10471.471505593,997.738042902655,9473.73346269032,178.233584244619,819.504458658036,129.702030113276,9344.03143257705
72,10463.5581867683,990.392633788723,9473.16555297961,159.321316996193,831.07131679253,115.892760855536,9357.27279212407
73,10456.0422521416,993.589396945673,9462.4528551959,168.635522405975,824.953874539698,120.571278521587,9341.88157667431
74,10441.5100515438,984.192354548361,9457.31769699543,165.510111718476,818.682242829885,121.509966750084,9335.80773024535
75,10421.8726305917,970.343747217423,9451.52888337427,150.702598609655,819.641148607768,112.962461025752,9338.56642234852
76,10402.9560169207,956.596579167427,9446.35943775327,138.309820113196,818.28675905423,108.785142756841,9337.57429499643
77,10387.7035322083,942.087715347473,9445.61581686085,122.413803485552,819.673911861921,103.820364183755,9341.7954526771
78,10370.3583043517,934.230597914665,9436.12770643708,120.543796915534,813.686800999131,104.710455111381,9331.4172513257
79,10349.525531245,915.468726177388,9434.05680506761,110.694668613819,804.774057563569,105.757102761571,9328.29970230604
80,10332.314112613,910.02137656658,9422.29273604641,104.631737255939,805.389639310642,101.036619091438,9321.25611695498
81,10313.7099534529,904.356145007433,9409.35380844546,87.3220912331681,817.034053774265,84.4531529035723,9324.90065554189
82,10290.6484160819,888.130386868321,9402.5180292136,90.1814415140535,797.948945354268,99.6480635739436,9302.86996563966
83,10271.401969801,867.835839028257,9403.56613077272,57.2004372166834,810.635401811573,85.49006773624,9318.07606303648
84,10263.6135318179,861.404073105181,9402.20945871268,63.0348624109645,798.369210694216,102.172662757977,9300.0367959547
85,10263.5553421771,859.598755595772,9403.95658658129,55.76234642603,803.836409169742,102.95262168075,9301.00396490054
86,10271.7658979396,858.411385593147,9413.35451234644,47.8500192467348,810.561366346412,105.421154311457,9307.93335803498
87,10288.2724321791,867.854075038923,9420.41835714013,43.3123037183798,824.541771320543,103.801812114968,9316.61654502516
88,10302.3125641354,887.596243409566,9414.71632072584,48.2608645413294,839.335378868237,98.7759736401663,9315.94034708567
89,10319.3894718877,896.156897234013,9423.23257465367,59.6302860395474,836.526611194466,113.700040415881,9309.53253423779
90,10335.1166594887,916.245797086798,9418.87086240194,64.6524068802747,851.593390206523,109.177553664349,9309.69330873759
91,10344.2159277405,919.595961476832,9424.61996626371,53.7557592463751,865.840202230457,101.62776443333,9322.99220183038
92,10356.711246235,924.171586004322,9432.53966023068,62.6712846921532,861.500301312169,111.863452422941,9320.67620780774
93,10355.4815062071,914.582123448276,9440.89938275878,54.5303118730944,860.051811575182,113.990885804507,9326.90849695427
94,10360.4289054948,921.239341502378,9439.18956399247,58.213686351259,863.025655151119,115.327667185724,9323.86189680675
95,10366.2803221547,922.574308206693,9443.70601394804,43.2543793019351,879.319928904758,103.243263917417,9340.46275003063
96,10377.8456143069,928.201860825169,9449.64375348175,50.8150945827103,877.386766242458,111.987177851737,9337.65657563001
97,10387.3294643805,921.940123745865,9465.38934063464,42.3664173002386,879.573706445626,116.868783859849,9348.52055677479
98,10392.7222804418,929.238627492067,9463.48365294972,33.8840930170226,895.354534475045,106.941318367168,9356.54233458255
99,10390.9028532103,937.228179945822,9453.67467326451,35.550071545355,901.678108400467,102.525537631818,9351.1491356327
100,10391.3879183915,921.009805044588,9470.37811334687,15.3841559104484,905.62564913414,101.403944777024,9368.97416856985
101,10392.827929757,920.592339369313,9472.23559038765,15.6270064990971,904.965332870216,104.024350561671,9368.21123982598
102,10403.9809526157,929.939227314469,9474.04172530122,11.6726646522585,918.26656266221,96.2647027173207,9377.7770225839
103,10413.1149280877,917.566065089377,9495.54886299828,15.2033139886187,902.362751100758,116.790218204453,9378.75864479383
104,10419.7455356987,926.99888076852,9492.74665493013,1.02635406336163,925.972526705159,96.8300255713896,9395.91662935874
105,10421.375481499,916.91874672845,9504.45673477054,-2.58864432203574,919.507391050485,105.222696511118,9399.23403825942
106,10411.8418474089,897.9093883296,9513.93245907927,-17.5757489959261,915.485137325527,105.931498395646,9408.00096068362
107,10403.4990100006,891.076224599012,9512.42278540155,-23.380625870451,914.456850469463,104.055840142768,9408.36694525879
108,10388.8136446422,886.22513995265,9502.5885046895,-28.5121151558253,914.737255108475,96.2922063769141,9406.29629831259
109,10364.2119087639,853.594104641889,9510.61780412205,-42.6734103481529,896.267514990042,103.597525640257,9407.02027848179
110,10343.8081625414,849.143592251079,9494.66457029034,-54.7417823723779,903.885374623457,87.1283912274203,9407.53617906292
111,10317.2939144353,802.574128363495,9514.71978607179,-86.632733547267,889.206861910762,89.1008879426773,9425.61889812912
112,10297.0523112388,785.337437201496,9511.71487403726,-93.9787090315843,879.31614623308,88.3740810610137,9423.34079297624
113,10281.4417208393,770.105711468687,9511.33600937058,-95.6550288105539,865.760740279241,93.5196948627463,9417.81631450783
114,10266.7052188258,760.193035706366,9506.51218311941,-91.3582391228609,851.551274829227,97.943905804272,9408.56827731514
115,10249.286759164,750.130232404036,9499.15652675999,-100.618410168323,850.748642572359,90.2986761321311,9408.85785062786
116,10232.4243497689,735.436488765156,9496.98786100372,-112.922966923958,848.359455689114,83.2113300098748,9413.77653099385
117,10211.9018463749,723.430602884528,9488.47124349036,-103.775633219427,827.206236103955,94.6053124242781,9393.86593106608
118,10209.6601164965,731.292084094035,9478.36803240248,-105.954993032742,837.247077126777,83.0216095750639,9395.34642282741
119,10206.9684118743,723.424776863183,9483.54363501115,-111.810554119636,835.235330982819,81.157579795116,9402.38605521603
120,10213.0890751816,736.749601743471,9476.33947343812,-100.101154322219,836.85075606569,81.2358391246037,9395.10363431352
121,10216.0121596491,735.961888627704,9480.05027102136,-97.7093162260643,833.671204853769,83.3359023390162,9396.71436868234
122,10214.846436747,734.458162051185,9480.38827469581,-98.0339131057153,832.4920751569,83.0426302051945,9397.34564449062
123,10221.3001352773,751.578219941133,9469.72191533618,-85.6844362477612,837.262656188894,80.9786999244891,9388.74321541169
124,10218.7817601356,747.494546110203,9471.28721402539,-96.6433889354234,844.137935045627,72.1327202655436,9399.15449375985
125,10223.8573902249,744.369771491171,9479.48761873377,-91.7491540187521,836.118925509923,83.2031618470296,9396.28445688674
126,10222.9522195489,734.970133194916,9487.98208635397,-101.635159972968,836.605293167884,81.1080030064303,9406.87408334754
127,10230.0449076342,730.614527515498,9499.43038011872,-106.188305317273,836.802832832771,85.2542025043231,9414.1761776144
128,10228.8958946388,747.040469054164,9481.85542558465,-94.3511234874347,841.391592541599,80.9596932821359,9400.89573230251
129,10226.4768316502,735.512486256397,9490.96434539375,-109.437144467893,844.94963072429,76.9629201955722,9414.00142519818
130,10217.4586846242,717.762920444862,9499.69576417937,-114.961824740694,832.724745185556,85.2157514024433,9414.48001277693
