"Time","Tot","A","B","AA","AB","BA","BB"
1,626.056767577535,259.263659919516,366.793107658019,257.870464131565,1.39319578795085,363.461662992695,3.33144466532379
2,627.350413552699,265.99283681287,361.357576739828,261.309481641903,4.68335517096781,360.662882508304,0.694694231524079
3,629.017585386776,265.492590885509,363.524994501266,261.459303055198,4.03328783031163,361.890921646264,1.63407285500261
4,631.055883059091,264.963761261269,366.092121797822,265.498531476391,-0.534770215121336,367.986184548147,-1.89406275032507
5,633.146165676638,261.31714711224,371.829018564399,259.298084376793,2.0190627354465,366.707645485176,5.12137307922248
6,634.590909892586,268.378261086202,366.212648806384,260.249407618989,8.12885346721295,361.602912472003,4.60973633438156
7,635.981094968456,267.682726778271,368.298368190185,267.443430639532,0.23929613873893,370.57106407088,-2.27269588069416
8,637.67576382872,270.891824795989,366.783939032732,264.935862568155,5.95596222783374,365.771116072043,1.01282296068852
9,639.38355210905,262.563043571403,376.820508537647,266.754940931139,-4.19189735973631,376.519868860064,0.300639677582328
10,640.929574939137,267.151501759173,373.778073179964,266.462305257122,0.689196502050709,372.668746610265,1.10932656969837
11,642.649427409621,265.685136509434,376.964290900188,268.215068930448,-2.52993242101436,376.641455908351,0.322834991836444
12,643.713433110539,267.547591618953,376.165841491586,266.261503837917,1.28608778103614,373.359812323289,2.80602916829778
13,644.193771539985,273.540586566002,370.653184973984,267.821333087184,5.71925347881792,369.099158635529,1.55402633845451
14,644.577079345992,267.758136656666,376.818942689326,264.84402225617,2.91411440049625,372.143512742175,4.67542994715048
15,645.293266967759,266.278538145204,379.014728822555,264.209635862806,2.06890228239719,373.430604610571,5.58412421198382
16,646.217887918783,273.609297376341,372.608590542442,263.252920429458,10.356376946883,365.796189633378,6.8124009090643
17,647.800718891709,265.646763821624,382.153955070085,267.08188100985,-1.4351171882259,378.428175132158,3.72577993792677
18,649.324581241172,274.834123999534,374.490457241639,269.300953179349,5.53317082018417,372.194232038276,2.29622520336308
19,650.382995944248,271.491788960551,378.891206983697,268.203938120237,3.2878508403144,374.864621520991,4.02658546270551
20,650.887996666026,272.989340709542,377.898655956484,273.494306209849,-0.504965500307038,378.873740447356,-0.97508449087141
21,651.760900750924,273.309775461008,378.451125289915,269.710799075162,3.59897638584577,375.280059332675,3.17106595723982
22,652.760505045118,274.763087858938,377.99741718618,265.628250496058,9.13483736288011,370.292668512978,7.70474867320161
23,653.814132932376,273.072102776324,380.742030156052,272.942231641572,0.129871134752498,379.532834368175,1.20919578787689
24,654.998008512989,273.223646404033,381.774362108957,270.306506865619,2.91713953841433,377.54643052715,4.22793158180629
25,656.149350248512,275.350493512707,380.798856735805,270.907991510403,4.44250200230403,376.646304690794,4.15255204501128
26,657.490412859354,279.287220553695,378.203192305659,277.943408660768,1.34381189292698,380.244918399179,-2.04172609352039
27,658.672436170865,279.588758145168,379.083678025697,270.363522062759,9.22523608240919,372.907126748304,6.17655127739249
28,659.991081006298,276.870739334332,383.120341671965,272.892751260882,3.97798807345022,379.04886907818,4.07147259378566
29,661.719623997798,275.64751496613,386.072109031668,266.164868432577,9.48264653355344,374.68207185548,11.3900371761876
30,663.959224661295,274.639413284236,389.319811377059,270.379403223424,4.26001006081134,381.157992810141,8.16181856691834
31,666.119335180931,280.224245231352,385.895089949579,271.434313754644,8.7899314767074,377.638461251886,8.25662869769275
32,667.435614318156,277.761665596598,389.673948721558,274.381834780278,3.37983081631974,383.822817581672,5.85113113988561
33,668.159758381858,283.64201765691,384.517740724948,276.817108277797,6.8249093791124,381.175854716093,3.34188600885468
34,669.454664594039,280.423284358547,389.031380235492,278.283367936976,2.13991642157041,386.56060671599,2.470773519502
35,671.602027543603,281.261255969758,390.340771573845,279.50159875591,1.75965721384766,388.423348786406,1.91742278743828
36,674.295899583485,285.256840723136,389.039058860349,279.523504803143,5.73333591999382,385.83057233958,3.20848652076884
37,677.075643345194,281.75632328426,395.319320060934,278.690044073863,3.06627921039652,390.018101542731,5.30121851820316
38,679.108657384304,279.177675701498,399.930981682806,274.800130483645,4.37754521785345,390.278520409566,9.65246127323981
39,680.389815806722,280.920604329117,399.469211477605,278.422906214313,2.49769811480407,393.421590111975,6.04762136563021
40,681.622110431213,281.01591972674,400.606190704473,280.170255040238,0.845664686501093,395.857117175367,4.74907352910669
41,682.940181925141,284.349727306963,398.590454618178,285.518958021612,-1.16923071464883,398.535258315215,0.0551963029635597
42,684.047359571865,282.537806126401,401.509553445464,278.531735396857,4.0060707295443,394.295740835642,7.21381260982207
43,684.947732953634,290.708487478751,394.239245474883,286.232890602656,4.47559687609506,394.870674704579,-0.631429229696292
44,685.754515294254,285.747113712752,400.007401581502,282.513095720807,3.23401799194451,396.756402760535,3.25099882096699
45,686.835763404098,286.236689281979,400.59907412212,281.677129345247,4.55955993673208,396.183335398184,4.41573872393591
46,688.292983881484,286.929096956197,401.363886925287,276.830567201968,10.0985297542291,391.423748564423,9.94013836086481
47,689.411074953543,288.79297041973,400.618104533813,283.444105257334,5.34886516239641,396.830175395799,3.78792913801383
48,690.365735392323,288.938687238675,401.427048153648,289.361921005709,-0.423233767033874,403.188487719039,-1.76143956539086
49,691.153567278481,289.637790886935,401.515776391546,286.737055407655,2.90073547928021,400.352657788351,1.16311860319485
50,691.674049677225,291.46753732352,400.206512353704,289.962562998366,1.50497432515396,401.972008597378,-1.76549624367427
51,692.933346173884,292.691007297103,400.242338876781,288.122621755394,4.56838554170857,399.780344479199,0.461994397581843
52,694.892892619917,288.289280841629,406.603611778288,288.659291376608,-0.370010534978627,405.952175741501,0.651436036787013
53,696.782891514162,290.885762027938,405.897129486223,292.207755703201,-1.32199367526238,407.848574058738,-1.95144457251501
54,698.965703666048,290.410945137701,408.554758528347,288.011615839002,2.399329298699,405.129818659251,3.42493986909621
55,700.756874084299,292.735638127247,408.021235957053,285.175661563905,7.55997656334154,401.31596749802,6.70526845903288
