"Time","Tot","A","B","AA","AB","BA","BB"
1,425.939146313558,-23.535896102989,449.475042416547,-24.5254739745542,0.98957787156516,176.517188703912,272.957853712635
2,424.866800482061,-24.0290426843013,448.895843166362,-28.2290671917981,4.20002450749677,168.070386935146,280.825456231217
3,422.663691119913,-28.8426410733228,451.506332193236,-20.8214675288335,-8.02117354448934,175.068450645768,276.437881547468
4,420.521277496072,-34.1761980913935,454.697475587465,-33.9785818387014,-0.197616252692057,167.069305550902,287.628170036563
5,420.931077997491,-25.0543000968344,445.985378094325,-26.2108235693043,1.15652347246989,165.263677306092,280.721700788234
6,414.184345059148,-27.5114537667572,441.695798825905,-24.7187405372496,-2.7927132295076,163.850180141722,277.845618684183
7,408.458859734852,-32.3884406283727,440.847300363225,-38.2134411892102,5.82500056083744,152.700852734877,288.146447628348
8,404.087344779982,-34.1818744302676,438.26921921025,-27.8486765661684,-6.33319786409917,163.292780717486,274.976438492764
9,398.620076667861,-35.9601926328857,434.580269300747,-28.0372858458101,-7.92290678707563,162.347062978639,272.233206322108
10,392.301245635883,-37.7111875768682,430.012433212751,-29.0191130530724,-8.69207452379581,161.051563314347,268.960869898404
11,388.260746972255,-40.2250371325273,428.485784104782,-34.3811499775608,-5.84388715496643,156.032655259122,272.453128845659
12,387.927567573402,-38.9477573713716,426.875324944774,-33.0195052614168,-5.9282521099548,157.261877715114,269.61344722966
13,388.780273794314,-17.8859502105466,406.666224004861,-17.9475087638771,0.0615585533304728,151.447251196661,255.2189728082
14,385.20095586204,-27.5694002059062,412.770356067946,-25.2067380416865,-2.36266216421968,149.999960122604,262.770395945342
15,379.093089715898,-25.6888510938297,404.781940809727,-21.5422534129093,-4.14659768092046,147.742096985794,257.039843823933
16,371.275075203213,-32.0329648853216,403.308040088534,-33.2996348016253,1.26666991630375,138.664728022704,264.643312065831
17,366.155286116326,-34.6350581790216,400.790344295348,-24.294950771612,-10.3401074074096,145.091087463994,255.699256831354
18,366.053157327075,-27.3071711782918,393.360328505367,-26.3231063526554,-0.984064825636493,138.018616712142,255.341711793225
19,365.544507828549,-33.9959437702498,399.540451598799,-34.2585400609777,0.262596290727849,136.084276606195,263.456174992603
20,364.944814991896,-15.7567746743863,380.701589666282,-26.1931470674937,10.4363723931074,125.406398472189,255.295191194093
21,365.691575092337,-15.0697768788975,380.761351971234,-17.9876935161681,2.9179166372706,132.638415116591,248.122936854643
22,363.742443585825,-19.7783883829094,383.520831968735,-24.0695583825916,4.29116999968213,127.751726277028,255.769105691706
23,358.240495064091,-18.6137255116884,376.85422057578,-20.3032699724417,1.68954446075327,129.3919284557,247.46229212008
24,352.858364184033,-21.780826063511,374.639190247544,-22.043505229363,0.262679165851954,128.821456818239,245.817733429305
25,351.410404935584,-4.17457117333533,355.584976108919,-17.8998190303185,13.7252478569832,112.1503138656,243.434662243319
26,354.608832717508,-10.4543974685238,365.063230186032,-17.5762626916295,7.12186522310573,119.10012630373,245.963103882302
27,360.08048744127,0.430562396290912,359.649925044979,-6.57659349128204,7.00715588757295,115.856172802669,243.79375224231
28,363.040805236992,-7.59100839163823,370.631813628631,-6.79463708644083,-0.796371305197408,121.610622170516,249.021191458115
29,363.738525987179,-2.56024360935275,366.298769596532,-1.56737263186498,-0.992870977487769,122.344722566952,243.95404702958
30,360.853039598142,-4.6896414358376,365.542681033979,-3.42135535675635,-1.26828607908126,122.617087548325,242.925593485654
31,354.174995287623,-6.57338327406278,360.748378561686,-7.22492384635444,0.651540572291657,118.192695602882,242.555682958803
32,354.241634195952,-13.7536516172317,367.995285813184,-21.5143562257109,7.76070460847922,115.398031441192,252.597254371992
33,350.143180534384,-1.44808283960504,351.591263373989,-8.12238334894245,6.67430050933741,113.522311565987,238.068951808002
34,344.530656723647,-18.5417344123454,363.072391135993,-10.1785002136581,-8.36323419868729,123.073388760673,239.99900237532
35,342.816530875782,-14.9055619268706,357.722092802652,-25.7825221835028,10.8769602566322,105.732951666456,251.989141136196
36,343.950344752302,-25.7776561409217,369.728000893224,-17.673691220378,-8.10396492054372,125.656030190415,244.071970702809
37,339.480760898714,-22.2855881743319,361.766349073046,-21.1680632494622,-1.1175249248697,117.078184572729,244.688164500317
38,340.747621201271,-16.0152215610717,356.762842762342,-19.1811534305926,3.16593186952089,115.950110419051,240.812732343291
39,341.380867132183,-12.2420786235789,353.622945755762,-23.9572492390695,11.7151706154906,105.068856776441,248.554088979321
40,341.552289630403,-10.01577009861,351.568059729013,-10.8248158331881,0.809045734578157,112.743217827302,238.824841901711
41,341.075483052011,-15.8211157144083,356.896598766419,-11.6725640890309,-4.1485516253774,113.056896529704,243.839702236715
42,343.323588148577,-6.67764972619993,350.001237874777,-11.3004211496297,4.62277142342979,103.685237486217,246.31600038856
43,347.305574248566,-7.12052342314569,354.426097671712,0.42189761268067,-7.54242103582636,116.206443349405,238.219654322307
44,352.936492990241,8.30873888203528,344.627754108206,-3.89990377571068,12.208642657746,94.5153380965409,250.112416011665
45,350.211433443737,12.6869537397073,337.524479704029,10.4327086136395,2.25424512606777,101.292093902591,236.232385801439
46,352.264817703881,11.7592622248951,340.505555478986,10.0584168413872,1.70084538350789,102.424521448285,238.081034030701
47,354.550620763807,20.8875737637231,333.663047000084,16.893780534639,3.99379322908415,101.887491368812,231.775555631272
48,357.093328727382,16.4200558896808,340.673272837701,28.6050006395751,-12.1849447498943,116.671692164383,224.001580673319
49,358.057847923585,14.2486814332518,343.809166490333,16.3460332076962,-2.0973517744444,104.484720440808,239.324446049525
50,360.333645819531,26.2671004671516,334.06654535238,21.6375686821527,4.62953178499888,99.2960128442893,234.77053250809
51,360.236201846169,23.1766976576837,337.059504188485,7.33458731493048,15.8421103427532,89.0082224647614,248.051281723724
52,362.452994839517,33.046836176839,329.406158662678,29.2953855293483,3.75145064749067,100.33066307555,229.075495587128
53,366.187088858794,36.8420737225356,329.345015136258,33.2093166468691,3.63275707566655,98.7235254336307,230.621489702628
54,369.744664373775,47.5915897948385,322.153074578936,41.048417294782,6.54317250005649,93.9068738123162,228.24620076662
55,370.153466826866,51.1785464824789,318.974920344387,50.5489174330877,0.629629049391182,98.7571863249229,220.217734019464
56,367.049606905613,38.658183519257,328.391423386356,40.5393478296018,-1.88116431034479,95.5589729381451,232.832450448211
57,363.336779461699,47.7266029398226,315.610176521877,45.7152981363507,2.01130480347193,87.2815879267212,228.328588595156
58,360.998953592957,38.53833345441,322.460620138547,41.39615109769,-2.85781764327996,95.2073843624989,227.253235776048
59,358.238735206539,46.7352746222165,311.503460584322,48.0344667754336,-1.29919215321709,92.8124159261256,218.691044658197
60,344.022462205875,22.2244642728384,321.797997933037,28.3962204054334,-6.17175613259499,91.5582233806527,230.239774552384
61,336.020537773941,32.5889047177112,303.43163305623,25.1306071388781,7.45829757883309,75.9180101073836,227.513622948846
62,328.988509609646,31.2697293258082,297.718780283838,23.6794502823631,7.59027904344515,74.9667880467847,222.751992237053
63,327.523622817394,35.6673877248955,291.856235092498,27.2729159868808,8.39447173801475,77.2909558205848,214.565279271913
64,327.700378656286,31.2573761518486,296.443002504437,31.6416095800456,-0.384233428196979,86.1925687346836,210.250433769753
65,324.533339989794,20.509358460509,304.023981529285,30.1104820634261,-9.6011236029171,93.0256567818422,210.998324747443
66,327.907195984559,34.6819360613917,293.225259923167,37.4217331790854,-2.73979711769366,88.5847401965632,204.640519726604
67,332.231778901018,36.1372721956032,296.094506705415,33.7019594459668,2.43531274963636,86.0131663609619,210.081340344453
68,335.668354854452,36.7965435799842,298.871811274468,24.5027801048076,12.2937634751766,76.637668640131,222.234142634337
69,337.629436157103,35.9122172004903,301.717218956613,39.5802625265906,-3.66804532610034,88.7120103799148,213.005208576698
70,331.847528498109,29.6429375036565,302.204590994453,36.4710434678383,-6.82810596418183,86.2839949278254,215.920596066628
71,323.679558209854,25.3165141085985,298.363044101255,34.4459410944473,-9.12942698584887,85.9485876654173,212.414456435838
72,315.257770030822,15.7370187140241,299.520751316798,32.8670921999336,-17.1300734859094,93.6363424180814,205.884408898716
73,302.327884696602,19.0864320903415,283.241452606261,34.145334956022,-15.0589028656806,85.616944232372,197.624508373889
74,294.828551320547,16.8512128170981,277.977338503449,28.3409716010619,-11.4897587839638,76.8068327651906,201.170505738259
75,290.19370402354,9.94381631671444,280.249887706826,14.3177768893997,-4.37396057268521,70.2912678842415,209.958619822585
76,288.135071659838,13.2642450910335,274.870826568805,14.4814745175609,-1.21722942652742,69.6198138267231,205.251012742082
77,285.45078224043,11.7561732243811,273.694609016049,16.0238898539611,-4.26771662957993,70.3667488342836,203.327860181765
78,281.787943382588,10.8296564842925,270.958286898295,0.893415603936403,9.93624088035613,53.1342167052302,217.824070193065
79,280.642309232063,-16.4552188325301,297.097528064593,-12.2569272335299,-4.19829159900018,68.8876411736672,228.209886890926
80,283.24031315462,2.28746298862972,280.95285016599,-6.76111807118947,9.04858105981919,58.1532742707613,222.799575895229
81,280.544170871503,-3.95863153210625,284.50280240361,-4.10556071484695,0.146929182740701,64.6608501261753,219.841952277434
82,273.290039742431,-16.8011142901274,290.091154032559,-4.94372537601931,-11.8573889141081,75.3223838189948,214.768770213564
83,272.453428886993,-14.4261264539763,286.879555340969,-21.4516397293318,7.02551327535552,60.0817035441217,226.797851796847
84,277.718988289423,-1.65694304034221,279.375931329766,-10.7401150075382,9.08317196719603,60.65985521247,218.716076117296
85,282.644151457312,-0.10708757501128,282.751239032323,-0.255137004177731,0.148049429166451,67.5371569650539,215.214082067269
86,290.250102630211,-8.99845334349075,299.248555973702,-0.330041472816566,-8.66841187067418,76.5050571849497,222.743498788752
87,299.699137179944,-3.79647941828014,303.495616598224,1.82544382328601,-5.62192324156615,73.0419153173563,230.453701280868
88,306.708775767803,9.76965799484708,296.939117772956,11.0629314054728,-1.29327341062573,67.1452640946015,229.793853678355
89,309.640975915545,-1.4012240258523,311.042199941397,0.407393472895785,-1.80861749874808,67.3293842093591,243.712815732038
