"Time","Tot","A","B","AA","AB","BA","BB"
1,5.70100672619783,5.67614799717492,0.0248587290229141,4.68657012560976,0.98957787156516,0.547419553294588,-0.522560824271674
2,3.02544621447347,4.37190423785418,-1.34645802338071,0.17187973035741,4.20002450749677,-4.19460327223885,2.84814524885814
3,-7.12522358723638,-4.19301365610362,-2.93220993113276,3.82815988838572,-8.02117354448934,2.86277577802589,-5.79498570915865
4,-0.904071801821987,-3.03175453124487,2.12768272942289,-2.83413827855282,-0.197616252692057,-1.5677445701977,3.69542729962059
5,-5.10350879870038,2.47677925299708,-7.58028805169746,1.32025578052719,1.15652347246989,-4.87603319917411,-2.70425485252334
6,-9.57583796524852,-0.8832788997318,-8.69255906551672,1.9094343297758,-2.7927132295076,-3.58925302794531,-5.10330603757141
7,-6.13745370414467,-4.5567808948074,-1.58067280933727,-10.3817814556448,5.82500056083744,-9.15720975244032,7.57653694310306
8,-5.72082782327198,-5.44161239714463,-0.279215426127354,0.891585466954544,-6.33319786409917,3.54421149112518,-3.82342691725253
9,-7.19916618136087,-4.28569344650371,-2.91347273485715,3.63721334057192,-7.92290678707563,4.97790423668121,-7.89137697153836
10,-2.08172346152411,-1.52587318239509,-0.555850279129022,7.16620134140072,-8.69207452379581,8.48012903950434,-9.03597931863336
11,-3.61863752900126,-3.30675821581986,-0.311879313181399,2.53712893914657,-5.84388715496643,3.70328652582098,-4.01516583900238
12,1.27427732216251,-4.08235911993347,5.35663644209598,1.84589299002133,-5.9282521099548,6.52500735603736,-1.16837091394138
13,1.78478895333135,15.6639775857004,-13.8791886323691,15.60241903237,0.0615585533304728,1.43103654066819,-15.3102251730373
14,-2.16267767428678,1.52977792985738,-3.69245560414416,3.89244009407706,-2.36266216421968,2.26605198256444,-5.9585075867086
15,-5.90512106460341,1.08955917536768,-6.99468023997109,5.23615685628814,-4.14659768092046,2.39538976313558,-9.39007000310667
16,-2.34906279991835,-2.37276396499,0.0237011650716559,-3.63943388129376,1.26666991630375,-3.6763615117591,3.70006267683075
17,-7.72239748068141,-9.62106599956067,1.89866851887926,0.719041407848941,-10.3401074074096,5.00341054590118,-3.10474202702192
18,-3.68032449795511,0.200889031041545,-3.88121352899665,1.18495385667804,-0.984064825636493,-2.87528916337478,-1.00592436562188
19,-1.86094629611624,-8.53756724460765,6.67662094849141,-8.8001635353355,0.262596290727849,-2.02795178181827,8.70457273030969
20,-0.783912247893078,9.59224743110711,-10.3761596790002,-0.844124962000293,10.4363723931074,-12.2534838528756,1.87732417387543
21,-0.187832981063597,7.55130664430659,-7.73913962537019,4.63339000703599,2.9179166372706,-4.67005358897385,-3.06908603639634
22,-9.13974886050531,-6.82241835863952,-2.31733050186579,-11.1135883583217,4.29116999968213,-8.8903936987111,6.57306319684531
23,-6.09728101554418,0.272701141411126,-6.3699821569553,-1.41684331934215,1.68954446075327,-4.4020315286016,-1.9679506283537
24,2.26443374488801,-0.344252431802059,2.60868617669007,-0.606931597654013,0.262679165851954,0.241139565977452,2.36754661071261
25,4.21405916014426,16.707325818308,-12.4932666581637,2.9820779613248,13.7252478569832,-12.3631866745107,-0.13007998365303
26,12.8120562945696,9.02708328439789,3.78497301017175,1.90521806129216,7.12186522310573,-3.14012648889097,6.92509949906272
27,8.74822297199558,10.2233808357223,-1.47515786372677,3.2162249481494,7.00715588757295,-3.26832853622383,1.79317067249706
28,1.78693923548416,-5.77022692413134,7.5571661596155,-4.97385561893393,-0.796371305197408,2.42319051464061,5.13397564497489
29,-1.39029514992414,1.60020149090107,-2.99049664082521,2.59307246838884,-0.992870977487769,2.48501209638097,-5.47550873720618
30,-6.56842020188813,2.64673127194651,-9.21515147383464,3.91501735102777,-1.26828607908126,-1.126655106358,-8.08849636747664
31,-3.9782010742108,3.69937924743666,-7.67758032164747,3.04783867514501,0.651540572291657,-0.381880680335062,-7.2956996413124
32,-0.113834869668524,3.32116744495223,-3.43500231462075,-4.43953716352699,7.76070460847922,-6.73820979092568,3.30320747630493
33,0.72420504496429,14.3065952180672,-13.5823901731029,7.63229470872982,6.67430050933741,-5.82402916697553,-7.75836100612741
34,-9.37533111288639,-6.97181764788277,-2.40351346500362,1.39141655080453,-8.36323419868729,2.60178629476927,-5.00529975977289
35,-1.82358466146339,-0.397014355288938,-1.42657030617446,-11.2739746119212,10.8769602566322,-12.8922054478331,11.4656351416587
36,-5.17704105288897,-11.1239474947218,5.94690644183281,-3.01998257417807,-8.10396492054372,5.80510209923106,0.141804342601747
37,-4.46139907254203,-2.75356427668623,-1.7078347958558,-1.63603935181654,-1.1175249248697,-1.45535180951631,-0.252482986339484
38,6.32486060596462,7.91017525181199,-1.58531464584737,4.74424338229109,3.16593186952089,0.193667908890971,-1.77898255473834
39,8.33414074398781,7.13440478362472,1.19973596036309,-4.58076583186588,11.7151706154906,-6.78421619977482,7.98395216013791
40,7.23506203949085,5.90166230024134,1.33339973924951,5.09261656566318,0.809045734578157,2.2589042257515,-0.925504486501989
41,2.25501793637182,-2.58479637149121,4.83981430786303,1.56375525388619,-4.1485516253774,3.55512847050373,1.28468583735929
42,2.06270891288147,7.19789759015848,-5.13518867727701,2.57512616672869,4.62277142342979,-6.18603520660587,1.05084652932886
43,9.91086646663568,2.88699760120993,7.02386886542575,10.4294186370363,-7.54242103582636,9.88232720149562,-2.85845833606987
44,-1.40063670989621,4.46993151149955,-5.87056822139576,-7.73871114624642,12.208642657746,-14.0618615467666,8.19129332537082
45,4.1153986097649,4.45847068211301,-0.343072072348115,2.20422555604524,2.25424512606777,0.386797026687474,-0.729869099035589
46,2.44769777882325,2.17651603985116,0.271181738972084,0.475670656343274,1.70084538350789,0.216967101492184,0.0542146374799001
47,9.41336268572242,12.419630044912,-3.00626735918962,8.4258368158279,3.99379322908415,1.48232430965576,-4.48859166884538
